question,answer
"广西亿库光养硅藻环保科技有限公司是做什么的？","广西亿库光养硅藻环保科技有限公司是一家集科工贸于一体的环保科技企业，主营功能性硅藻板，重点面向环保建筑装饰板及相关应用场景。"
"广西亿库光养硅藻环保科技有限公司什么时候成立？","根据提供资料，公司成立于2020年。"
"广西亿库光养硅藻环保科技有限公司注册资金是多少？","根据提供资料，公司注册资金为25000000元。"
"广西亿库光养硅藻环保科技有限公司在哪里？","根据提供资料，公司位于广西北海海洋产业科技园区。"
"广西亿库光养硅藻环保科技有限公司的企业定位是什么？","公司定位为专业生产环保建筑装饰板的环保科技企业，集科研、生产、加工和贸易于一体。"
"亿库光养的核心产品是什么？","核心产品是功能性硅藻板，主打环保、调湿、防霉、净化空气、隔热和健康舒适体验。"
"硅藻板有哪些核心功能？","根据资料，硅藻板具备释放负离子、防水阻燃、降噪吸音、环境调适、抗菌防霉、净化空气、保温隔热和健康养生八大核心功能。"
"硅藻板为什么说能释放负离子？","资料显示，硅藻板在按压摩擦时可产生动态负离子，帮助改善空气清新感，营造更舒适的室内环境。"
"硅藻板的防水阻燃性能怎么样？","资料显示，硅藻板属于B1级防火材料，不燃烧、不释放有毒气体，吸水率极低，小于0.01%，在潮湿环境中更有优势。"
"硅藻板的降噪吸音效果怎么样？","硅藻板具备吸音降噪功能，可吸收噪音、衰减低频噪声并缩短余响时间，适合卧室、客厅、书房、剧院和会议空间。"
"硅藻板为什么适合南方潮湿地区？","资料显示，硅藻板具备自动调节室内温湿度的能力，可减少凝露、发霉和静电问题，尤其适合广西北海这类沿海高湿环境。"
"硅藻板的抗菌防霉能力强吗？","根据资料，大肠杆菌抗菌率为99.9%，金黄色葡萄球菌抗菌率为98.6%，防霉等级为0级，整体抗菌防霉性能突出。"
"硅藻板可以净化空气吗？","资料显示，硅藻板可吸附并净化甲醛、苯、甲苯、二甲苯和氨等有害物质，其中甲苯净化率可达37%。"
"硅藻板的保温隔热性能怎么样？","硅藻板导热系数为0.148 W/(m·K)，保温隔热性能约为普通水泥砂浆的6倍，夏天更不闷热，冬天更温润。"
"硅藻板为什么说有健康养生功能？","资料显示，硅藻板可释放对人体有益的中远红外线，有助于改善空间体感，让室内环境更温润舒适。"
"为什么说硅藻板是全能环保王？","因为在资料对比中，硅藻板是四类常见材料里少见的同时具备释放负离子、远红外养生和0甲醛释放特点的产品。"
"为什么说硅藻板是隔热冠军？","因为其导热系数仅为0.148，明显低于玻镁板、硅酸钙板和石膏板，在节能降耗和室内体感稳定方面更有优势。"
"为什么说硅藻板是南方除湿神器？","因为它针对沿海潮湿环境具备自动调湿和防霉等级0级的特点，能更好应对回南天、梅雨季和海边高湿环境。"
"硅藻板和玻镁板、硅酸钙板、石膏板相比有什么优势？","资料显示，硅藻板在防霉、调湿、净化空气、远红外、负离子、保温隔热和可加工性方面更有综合优势，尤其适合高湿和高舒适度需求场景。"
"硅藻板的环保性怎么样？","根据资料，硅藻板无有毒物质，甲醛未检出，重金属未检出，更适合重视环保和健康的室内空间。"
"硅藻板的强度怎么样？","资料显示，硅藻板抗折强度大于等于20MPa，抗冲击强度大于等于4.5KJ，整体强度优于常见对比板材。"
"硅藻板遇水会不会膨胀变形？","资料显示，硅藻板遇水不膨胀，吸水率极低，因此更适合潮湿、临海和防潮要求较高的空间。"
"硅藻板容易加工吗？","资料显示，硅藻板可镂洗雕刻，可钉气钉、可用螺钉固定，还可贴多种饰面材料和瓷砖，施工适配性较强。"
"硅藻板适合哪些家装和工装场所？","适用于办公、家具、家庭装修、病房、实验室、无菌室、学校、宾馆、剧院、商务大楼、高档别墅、会所和海滨项目。"
"硅藻板适合海边和海洋装备吗？","适合。资料中提到可用于海洋踏板、浮球、浮岛船舶、海滨码头等海洋和滨海场景。"
"硅藻板适合医院、学校和无菌室吗？","适合。因为资料显示其具备环保、抗菌、防霉和调湿等优势，更适合对空气质量和卫生要求较高的空间。"
"硅藻板可以用在门窗和特殊设施上吗？","可以。资料中提到可用于室内外门窗、海滨防潮设施、火车车厢顶棚和电脑刻字等特殊设施。"
"硅藻板还能做哪些板材应用？","资料显示，可用于吸音板、吊顶、橱柜、移门、内装饰板、建筑外墙板、室内地板、广告雕刻板、相册板、无尘室板和冷库用板。"
"住在硅藻板房间里，身体会有什么不一样的感受？","整体体感通常会更清新、不闷，回南天和梅雨季更容易保持墙面干爽，没有明显潮湿霉味，居住舒适度更高。"
